date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,facial_coverings,vaccination_policy,stringency_index,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
2021-01-06,1438.0,284288.0,24708.0,234.0,44514.0,2607.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,25379.0,283.0,198756.0,312996.0,2702876.0,46263.0,27095920.0,37622440.0,12454.0,26800.0,121.0,576.0,12575.0,27376.0
2021-01-07,1441.0,285729.0,24488.0,181.0,44695.0,2573.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,21703.0,276.0,200079.0,326630.0,2724579.0,46539.0,27295999.0,37949070.0,29462.0,56262.0,157.0,733.0,29619.0,56995.0
2021-01-08,1445.0,287174.0,24377.0,245.0,44940.0,2606.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,19814.0,276.0,201286.0,350028.0,2744393.0,46815.0,27497285.0,38299098.0,37143.0,93405.0,198.0,931.0,37341.0,94336.0
2021-01-09,944.0,288118.0,24240.0,143.0,45083.0,2600.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,20177.0,168.0,202165.0,188814.0,2764570.0,46983.0,27699450.0,38487912.0,11212.0,104617.0,77.0,1008.0,11289.0,105625.0
2021-01-10,729.0,288847.0,24526.0,118.0,45201.0,2620.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,15944.0,151.0,202429.0,42285.0,2780514.0,47134.0,27901879.0,38530197.0,6007.0,110624.0,27.0,1035.0,6034.0,111659.0
2021-01-11,1289.0,290136.0,24812.0,208.0,45409.0,2666.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,3581.0,310.0,203072.0,396962.0,2784096.0,47444.0,28104951.0,38927159.0,39935.0,150559.0,221.0,1256.0,40156.0,151815.0
2021-01-12,1660.0,291796.0,24703.0,258.0,45667.0,2678.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,19753.0,355.0,204390.0,337656.0,2803848.0,47799.0,28309341.0,39264815.0,62142.0,212701.0,306.0,1562.0,62448.0,214263.0
2021-01-13,1588.0,293384.0,24735.0,208.0,45875.0,2701.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23852.0,229.0,205672.0,312625.0,2827700.0,48028.0,28515013.0,39577440.0,65119.0,277820.0,431.0,1993.0,65550.0,279813.0
2021-01-14,1691.0,295075.0,24983.0,206.0,46081.0,2716.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,21228.0,282.0,206802.0,322335.0,2848928.0,48310.0,28721815.0,39899775.0,83118.0,360938.0,1184.0,3177.0,84302.0,364115.0
2021-01-15,1634.0,296709.0,25009.0,249.0,46330.0,2730.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,21271.0,280.0,208071.0,350021.0,2870199.0,48590.0,28929886.0,40249796.0,69009.0,429947.0,554.0,3731.0,69563.0,433678.0
2021-01-16,1199.0,297908.0,24985.0,188.0,46518.0,2731.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,21406.0,193.0,209056.0,198230.0,2891605.0,48783.0,29138942.0,40448026.0,20217.0,450164.0,186.0,3917.0,20403.0,454081.0
2021-01-17,698.0,298606.0,25235.0,136.0,46654.0,2766.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,16642.0,141.0,209343.0,44619.0,2908247.0,48924.0,29348285.0,40492645.0,10986.0,461150.0,136.0,4053.0,11122.0,465203.0
2021-01-18,1666.0,300272.0,25584.0,254.0,46908.0,2803.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,3736.0,403.0,210200.0,397123.0,2911983.0,49327.0,29558485.0,40889768.0,85903.0,547053.0,610.0,4663.0,86513.0,551716.0
2021-01-19,1995.0,302267.0,25532.0,315.0,47223.0,2829.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,23608.0,369.0,211816.0,336768.0,2935591.0,49696.0,29770301.0,41226536.0,130600.0,677653.0,873.0,5536.0,131473.0,683189.0
2021-01-20,1911.0,304178.0,25650.0,292.0,47515.0,2842.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,4.0,2.0,63.89,26784.0,310.0,213242.0,320195.0,2962375.0,50006.0,29983543.0,41546731.0,137549.0,815202.0,848.0,6384.0,138397.0,821586.0
